country_code,postal_code,place_name,state_name,state_code,county_name,county_code,community_name,community_code,latitude,longitude,accuracy
NL,1333,Almere,Flevoland,16,Almere,34,,,52.3955,5.2651,6.0
NL,1334,Almere,Flevoland,16,Almere,34,,,52.3954,5.2785,6.0
NL,1335,Almere,Flevoland,16,Almere,34,,,52.4035,5.292000000000001,6.0
NL,1336,Almere,Flevoland,16,Almere,34,,,52.4038,5.3168,6.0
NL,1338,Almere,Flevoland,16,Almere,34,,,52.3877,5.2789,6.0
NL,1339,Almere,Flevoland,16,Almere,34,,,52.3962,5.3021,6.0
NL,1341,Almere,Flevoland,16,Almere,34,,,52.358000000000004,5.2828,6.0
NL,1343,Almere,Flevoland,16,Almere,34,,,52.3405,5.3036,6.0
NL,1349,Almere,Flevoland,16,Almere,34,,,52.3445,5.316,6.0
NL,1351,Almere,Flevoland,16,Almere,34,,,52.3478,5.2189,6.0
NL,1352,Almere,Flevoland,16,Almere,34,,,52.3441,5.2139,6.0
NL,1353,Almere,Flevoland,16,Almere,34,,,52.3374,5.2093,6.0
NL,1354,Almere,Flevoland,16,Almere,34,,,52.338,5.2188,6.0
NL,1355,Almere,Flevoland,16,Almere,34,,,52.3435,5.2274,6.0
NL,1356,Almere,Flevoland,16,Almere,34,,,52.3388,5.2379,6.0
NL,1357,Almere,Flevoland,16,Almere,34,,,52.3344,5.2297,6.0
NL,1358,Almere,Flevoland,16,Almere,34,,,52.3342,5.261,6.0
NL,1359,Almere,Flevoland,16,Almere,34,,,52.3403,5.195,6.0
NL,1361,Almere,Flevoland,16,Almere,34,,,52.3417,5.1411,6.0
NL,1362,Almere,Flevoland,16,Almere,34,,,52.3534,5.1684,6.0
NL,1363,Almere,Flevoland,16,Almere,34,,,52.352,5.1491,6.0
NL,1364,Almere,Flevoland,16,Almere,34,,,52.3837,5.1287,
NL,1381,Weesp,Noord-Holland,7,Weesp,457,,,52.3044,5.0451,6.0
NL,1382,Weesp,Noord-Holland,7,Weesp,457,,,52.3122,5.0351,6.0
NL,1383,Weesp,Noord-Holland,7,Weesp,457,,,52.2987,5.0435,6.0
NL,1384,Weesp,Noord-Holland,7,Weesp,457,,,52.3178,5.0379,6.0
NL,1391,Abcoude,Utrecht,9,De Ronde Venen,736,,,52.2727,4.9718,6.0
NL,1393,Nigtevecht,Utrecht,9,Stichtse Vecht,1904,,,52.2743,5.0296,6.0
